"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"8968_at"	8968	0.0491663821000001	5.71975138015	0.985992403011859	0.335113144479561	0.716542684860817	-6.00978557298072
"1288_at"	1288	0.0528189393000007	7.79629806925	0.985992390208984	0.335113150618803	0.716542684860817	-6.00978558532516
"58525_at"	58525	-0.0453148577000011	7.11013684365	-0.985938518728509	0.335138983787051	0.716542684860817	-6.00983752650514
"100130539_at"	100130539	0.080158567299998	6.06791359125	0.985634733471256	0.335284684648089	0.716684420183339	-6.01013037823673
"26291_at"	26291	-0.0489564275000012	4.43073627435	-0.985509937058692	0.335344551907074	0.716684420183339	-6.01025065926948
"2525_at"	2525	-0.0608240467000023	10.17157524065	-0.98547173241056	0.335362880891626	0.716684420183339	-6.01028747882287
"80343_at"	80343	0.0897811135	5.32773067965	0.985416588564749	0.335389337809771	0.716684420183339	-6.01034062115567
"390243_at"	390243	0.049546873299998	4.33473801055	0.985306645406025	0.335442090642249	0.716684420183339	-6.01044656570425
"26266_at"	26266	0.0830186602999996	5.57651748475	0.985135728644415	0.335524111139462	0.716684420183339	-6.01061124486278
"27022_at"	27022	0.0590725536999983	3.86425949695	0.98509706114863	0.33554266903319	0.716684420183339	-6.01064849757709
"1628_at"	1628	-0.0909161850000029	10.4162504395	-0.985079572662766	0.335551062606252	0.716684420183339	-6.01066534574965
"582_at"	582	-0.0389211792000008	6.7391038162	-0.985053013701224	0.335563809817686	0.716684420183339	-6.01069093177529
"22872_at"	22872	-0.0669174721999983	9.229835762	-0.984994577873229	0.335591857792306	0.716684420183339	-6.01074722470653
"83752_at"	83752	-0.0670443360000039	9.3030706379	-0.984755925533728	0.335706422704174	0.716768985066835	-6.01097709383641
"23049_at"	23049	-0.0556920519999959	7.8743044345	-0.984751012796546	0.335708781343941	0.716768985066835	-6.01098182523494
"25949_at"	25949	-0.0342247849000028	8.99972938315	-0.984610236731268	0.335776373780547	0.716830745453428	-6.01111739584003
"10481_at"	10481	0.0507860577999999	6.0010038267	0.984019813692554	0.33605996260124	0.7173284539895	-6.01168579441201
"8986_at"	8986	-0.109201624500002	8.73630570635	-0.983919691407743	0.336108069165543	0.7173284539895	-6.01178215102438
"2977_at"	2977	0.0488616304999998	3.93588951335	0.983830262177642	0.336151041964134	0.7173284539895	-6.01186820919745
"8831_at"	8831	-0.0600320724000012	4.7215446223	-0.983802712143379	0.336164281151129	0.7173284539895	-6.01189471928934
"27161_at"	27161	-0.0921537525000025	7.58665581105	-0.983645262417824	0.336239950615168	0.717350765129257	-6.01204621270786
"54472_at"	54472	-0.0586151867000009	8.81840283465	-0.983609832535643	0.33625697963758	0.717350765129257	-6.01208029923404
"24144_at"	24144	-0.0439320232000018	9.1869577269	-0.983454787026534	0.33633150771902	0.717350765129257	-6.01222945288355
"4731_at"	4731	-0.0924866090000016	8.9315143464	-0.983451290448194	0.336333188603708	0.717350765129257	-6.01223281634177
"58489_at"	58489	-0.0569420360000041	10.77599928	-0.983350419161569	0.336381682216299	0.717350765129257	-6.01232984260866
"55780_at"	55780	-0.0597022386000017	8.5100404424	-0.983297964058933	0.336406901776458	0.717350765129257	-6.0123802946369
"29914_at"	29914	-0.0685185813999993	7.2829149884	-0.983214039150282	0.336447254217047	0.717354300854494	-6.0124610096466
"8969_at"	8969	0.0575515704999994	5.04639248465	0.98311077995711	0.336496907467063	0.717377664159599	-6.01256031083736
"440730_at"	440730	0.0480025969000009	5.04148560025	0.982882677487043	0.336606610790238	0.717529028106268	-6.0127796362593
"4221_at"	4221	-0.0389701131000013	8.54840050075	-0.982773076363828	0.336659330982747	0.717558902861479	-6.01288500358461
"7484_at"	7484	0.0697288233000002	7.11282728275	0.98260178186779	0.336741738233667	0.717585785352717	-6.01304965965976
"63916_at"	63916	0.0346010760999986	7.66062209455	0.982585946348208	0.336749357169677	0.717585785352717	-6.01306488016104
"11006_at"	11006	0.0564593280999981	4.45626578035	0.982470814760993	0.336804753945208	0.717621346211954	-6.01317553355377
"9718_at"	9718	0.0385028647999999	7.1358109722	0.982202713080622	0.336933778216128	0.717765310457277	-6.01343316123598
"23547_at"	23547	-0.0669965823000007	5.38116561945	-0.982169520812	0.336949754404751	0.717765310457277	-6.01346505231254
"741_at"	741	-0.0622055977000011	6.91920065675	-0.982015223821732	0.33702402788023	0.717791112701195	-6.01361328769936
"55600_at"	55600	-0.0741961905000021	4.48325025485	-0.981966361986732	0.33704755070407	0.717791112701195	-6.01366022555417
"1778_at"	1778	-0.0476259821000031	9.41626736535	-0.981629555263869	0.337209725289805	0.717791112701195	-6.01398371224889
"169834_at"	169834	-0.0449187495999999	3.8390335384	-0.981536368127895	0.337254604976895	0.717791112701195	-6.01407319614402
"55177_at"	55177	-0.0598987545000043	10.14638335675	-0.981196639073617	0.337418256089475	0.717791112701195	-6.01439935880218
"29945_at"	29945	-0.0635849212000021	8.8646873353	-0.981155678690873	0.337437990834955	0.717791112701195	-6.01443867655679
"56950_at"	56950	-0.0904940541000023	9.39879503835	-0.981155485832406	0.337438083756199	0.717791112701195	-6.01443886167754
"7201_at"	7201	0.0857706383999979	4.8764274747	0.981145272869804	0.337443004494497	0.717791112701195	-6.01444866483626
"130013_at"	130013	0.0792004463999989	4.9778727083	0.981116696082756	0.337456773424854	0.717791112701195	-6.01447609446059
"643226_at"	643226	-0.0636702527000015	6.40417520445	-0.98093665356093	0.337543530801292	0.717791112701195	-6.01464889274499
"391194_at"	391194	0.0570154900999991	3.52668563935	0.980837997621686	0.337591076805501	0.717791112701195	-6.01474356686886
"1577_at"	1577	0.208267640499996	7.42343643215	0.980816748741849	0.337601318042374	0.717791112701195	-6.01476395699365
"140467_at"	140467	-0.0420770094999998	7.73763220415	-0.980814773017382	0.337602270285188	0.717791112701195	-6.01476585285045
"5193_at"	5193	-0.0423551867999992	7.677266579	-0.98079514334639	0.337611731326858	0.717791112701195	-6.0147846888126
"93624_at"	93624	-0.0306995807000012	7.96585783315	-0.980787742799219	0.337615298264627	0.717791112701195	-6.01479179003575
"3484_at"	3484	-0.0550708677	3.65217254175	-0.980744274894002	0.337636249578579	0.717791112701195	-6.01483349884256
"23145_at"	23145	0.0713106224000004	6.3659126671	0.980673052792976	0.337670580210759	0.717791112701195	-6.01490183501802
"64090_at"	64090	0.0508940716999993	7.02306650495	0.980552316264382	0.337728783382462	0.717791112701195	-6.01501766894909
"56905_at"	56905	0.0726668643999986	8.3036361777	0.980452725584566	0.33777679802029	0.717791112701195	-6.01511320588171
"10884_at"	10884	-0.0524752203000034	9.45089088705	-0.980408887750451	0.337797934596445	0.717791112701195	-6.01515525653086
"84645_at"	84645	0.0627740515999982	6.358485429	0.98027833555973	0.337860886215401	0.717791112701195	-6.01528047619633
